+------------+-----------------+-----------+--------+----------+
| env        | group           | estimate  | model  | selected |
+------------+-----------------+-----------+--------+----------+
| (const)    | Amphipod        | 0.000000  | FCIR   | FALSE    |
| salinity   | Amphipod        | 0.000000  | FCIR   | FALSE    |
| water_temp | Amphipod        | 0.004121  | FCIR   | TRUE     |
| PAR        | Amphipod        | -0.002868 | FCIR   | TRUE     |
| (const)    | Appendicularian | 0.094528  | FCIR   | TRUE     |
| salinity   | Appendicularian | 0.000354  | FCIR   | TRUE     |
| water_temp | Appendicularian | 0.010006  | FCIR   | TRUE     |
| PAR        | Appendicularian | 0.050499  | FCIR   | TRUE     |
| (const)    | Chaetognath     | 0.022088  | FCIR   | TRUE     |
| salinity   | Chaetognath     | 0.000000  | FCIR   | FALSE    |
| water_temp | Chaetognath     | 0.021526  | FCIR   | TRUE     |
| PAR        | Chaetognath     | 0.028697  | FCIR   | TRUE     |
| (const)    | Copepod         | 0.070499  | FCIR   | TRUE     |
| salinity   | Copepod         | 0.000000  | FCIR   | FALSE    |
| water_temp | Copepod         | 0.000000  | FCIR   | FALSE    |
| PAR        | Copepod         | 0.000130  | FCIR   | TRUE     |
| (const)    | Foraminifera    | -0.011354 | FCIR   | TRUE     |
| salinity   | Foraminifera    | -0.037068 | FCIR   | TRUE     |
| water_temp | Foraminifera    | 0.000000  | FCIR   | FALSE    |
| PAR        | Foraminifera    | 0.000000  | FCIR   | FALSE    |
| (const)    | Krill           | -0.044014 | FCIR   | TRUE     |
| salinity   | Krill           | 0.015419  | FCIR   | TRUE     |
| water_temp | Krill           | 0.052023  | FCIR   | TRUE     |
| PAR        | Krill           | 0.000000  | FCIR   | FALSE    |
| (const)    | Other           | 0.094811  | FCIR   | TRUE     |
| salinity   | Other           | 0.000000  | FCIR   | FALSE    |
| water_temp | Other           | 0.024728  | FCIR   | TRUE     |
| PAR        | Other           | 0.000000  | FCIR   | FALSE    |
| (const)    | Pteropod        | 0.127159  | FCIR   | TRUE     |
| salinity   | Pteropod        | -0.032793 | FCIR   | TRUE     |
| water_temp | Pteropod        | 0.056407  | FCIR   | TRUE     |
| PAR        | Pteropod        | 0.000000  | FCIR   | FALSE    |
| (const)    | Amphipod        | -0.156326 | FCIR_I | TRUE     |
| salinity   | Amphipod        | 0.000000  | FCIR_I | FALSE    |
| water_temp | Amphipod        | 0.003951  | FCIR_I | TRUE     |
| PAR        | Amphipod        | -0.060339 | FCIR_I | TRUE     |
| (const)    | Appendicularian | -0.064507 | FCIR_I | TRUE     |
| salinity   | Appendicularian | 0.004995  | FCIR_I | TRUE     |
| water_temp | Appendicularian | 0.000000  | FCIR_I | FALSE    |
| PAR        | Appendicularian | 0.023463  | FCIR_I | TRUE     |
| (const)    | Chaetognath     | -0.117931 | FCIR_I | TRUE     |
| salinity   | Chaetognath     | -0.001247 | FCIR_I | TRUE     |
| water_temp | Chaetognath     | 0.011716  | FCIR_I | TRUE     |
| PAR        | Chaetognath     | 0.000000  | FCIR_I | FALSE    |
| (const)    | Copepod         | -0.075498 | FCIR_I | TRUE     |
| salinity   | Copepod         | 0.000000  | FCIR_I | FALSE    |
| water_temp | Copepod         | 0.000000  | FCIR_I | FALSE    |
| PAR        | Copepod         | -0.008113 | FCIR_I | TRUE     |
| (const)    | Foraminifera    | -0.177410 | FCIR_I | TRUE     |
| salinity   | Foraminifera    | -0.051018 | FCIR_I | TRUE     |
| water_temp | Foraminifera    | 0.000000  | FCIR_I | FALSE    |
| PAR        | Foraminifera    | -0.024017 | FCIR_I | TRUE     |
| (const)    | Krill           | -0.206288 | FCIR_I | TRUE     |
| salinity   | Krill           | 0.012664  | FCIR_I | TRUE     |
| water_temp | Krill           | 0.041816  | FCIR_I | TRUE     |
| PAR        | Krill           | -0.026128 | FCIR_I | TRUE     |
| (const)    | Other           | -0.041683 | FCIR_I | TRUE     |
| salinity   | Other           | 0.004944  | FCIR_I | TRUE     |
| water_temp | Other           | 0.022241  | FCIR_I | TRUE     |
| PAR        | Other           | -0.009586 | FCIR_I | TRUE     |
| (const)    | Pteropod        | -0.029659 | FCIR_I | TRUE     |
| salinity   | Pteropod        | -0.044140 | FCIR_I | TRUE     |
| water_temp | Pteropod        | 0.067360  | FCIR_I | TRUE     |
| PAR        | Pteropod        | -0.027802 | FCIR_I | TRUE     |
+------------+-----------------+-----------+--------+----------+
