+------------+-----------------+----------+--------+----------+--------------------+------------+
| env        | group           | estimate | model  | selected | is_reference_group | group_size |
+------------+-----------------+----------+--------+----------+--------------------+------------+
| (const)    | Amphipod        | -0.22674 | FCIR   | TRUE     | FALSE              | 8          |
| salinity   | Amphipod        | 0.00000  | FCIR   | FALSE    | FALSE              | 8          |
| water_temp | Amphipod        | 0.38224  | FCIR   | TRUE     | FALSE              | 8          |
| PAR        | Amphipod        | 0.01967  | FCIR   | TRUE     | FALSE              | 8          |
| (const)    | Appendicularian | 1.47374  | FCIR   | TRUE     | FALSE              | 8          |
| salinity   | Appendicularian | 0.07483  | FCIR   | TRUE     | FALSE              | 8          |
| water_temp | Appendicularian | -0.10484 | FCIR   | TRUE     | FALSE              | 8          |
| PAR        | Appendicularian | 0.34743  | FCIR   | TRUE     | FALSE              | 8          |
| (const)    | Chaetognath     | -0.66736 | FCIR   | TRUE     | FALSE              | 8          |
| salinity   | Chaetognath     | 0.21572  | FCIR   | TRUE     | FALSE              | 8          |
| water_temp | Chaetognath     | 0.32777  | FCIR   | TRUE     | FALSE              | 8          |
| PAR        | Chaetognath     | 0.00000  | FCIR   | FALSE    | FALSE              | 8          |
| (const)    | Copepod         | 1.39232  | FCIR   | TRUE     | FALSE              | 8          |
| salinity   | Copepod         | 0.04635  | FCIR   | TRUE     | FALSE              | 8          |
| water_temp | Copepod         | 0.00000  | FCIR   | FALSE    | FALSE              | 8          |
| PAR        | Copepod         | 0.34361  | FCIR   | TRUE     | FALSE              | 8          |
| (const)    | Foraminifera    | 2.16952  | FCIR   | TRUE     | FALSE              | 8          |
| salinity   | Foraminifera    | 0.04636  | FCIR   | TRUE     | FALSE              | 8          |
| water_temp | Foraminifera    | 0.41650  | FCIR   | TRUE     | FALSE              | 8          |
| PAR        | Foraminifera    | 0.51275  | FCIR   | TRUE     | FALSE              | 8          |
| (const)    | Krill           | -0.04722 | FCIR   | TRUE     | FALSE              | 8          |
| salinity   | Krill           | -0.10419 | FCIR   | TRUE     | FALSE              | 8          |
| water_temp | Krill           | 0.00000  | FCIR   | FALSE    | FALSE              | 8          |
| PAR        | Krill           | 0.00000  | FCIR   | FALSE    | FALSE              | 8          |
| (const)    | Other           | -1.03241 | FCIR   | TRUE     | FALSE              | 8          |
| salinity   | Other           | 0.02740  | FCIR   | TRUE     | FALSE              | 8          |
| water_temp | Other           | 0.00000  | FCIR   | FALSE    | FALSE              | 8          |
| PAR        | Other           | 0.15472  | FCIR   | TRUE     | FALSE              | 8          |
| (const)    | Pteropod        | 0.00000  | FCIR   | FALSE    | TRUE               | 8          |
| salinity   | Pteropod        | 0.00000  | FCIR   | FALSE    | TRUE               | 8          |
| water_temp | Pteropod        | 0.00000  | FCIR   | FALSE    | TRUE               | 8          |
| PAR        | Pteropod        | 0.00000  | FCIR   | FALSE    | TRUE               | 8          |
| (const)    | Amphipod        | 0.00000  | FCIR_M | FALSE    | FALSE              | 8          |
| salinity   | Amphipod        | 0.06503  | FCIR_M | TRUE     | FALSE              | 8          |
| water_temp | Amphipod        | 0.00000  | FCIR_M | FALSE    | FALSE              | 8          |
| PAR        | Amphipod        | 0.00000  | FCIR_M | FALSE    | FALSE              | 8          |
| (const)    | Appendicularian | 0.00000  | FCIR_M | FALSE    | FALSE              | 8          |
| salinity   | Appendicularian | 0.14019  | FCIR_M | TRUE     | FALSE              | 8          |
| water_temp | Appendicularian | -0.31903 | FCIR_M | TRUE     | FALSE              | 8          |
| PAR        | Appendicularian | 0.39907  | FCIR_M | TRUE     | FALSE              | 8          |
| (const)    | Chaetognath     | -0.56244 | FCIR_M | TRUE     | FALSE              | 8          |
| salinity   | Chaetognath     | 0.30375  | FCIR_M | TRUE     | FALSE              | 8          |
| water_temp | Chaetognath     | 0.00000  | FCIR_M | FALSE    | FALSE              | 8          |
| PAR        | Chaetognath     | 0.22856  | FCIR_M | TRUE     | FALSE              | 8          |
| (const)    | Copepod         | 0.05001  | FCIR_M | TRUE     | FALSE              | 8          |
| salinity   | Copepod         | 0.14237  | FCIR_M | TRUE     | FALSE              | 8          |
| water_temp | Copepod         | -0.30836 | FCIR_M | TRUE     | FALSE              | 8          |
| PAR        | Copepod         | 0.24723  | FCIR_M | TRUE     | FALSE              | 8          |
| (const)    | Foraminifera    | 1.70027  | FCIR_M | TRUE     | FALSE              | 8          |
| salinity   | Foraminifera    | 0.00000  | FCIR_M | FALSE    | FALSE              | 8          |
| water_temp | Foraminifera    | 0.00000  | FCIR_M | FALSE    | FALSE              | 8          |
| PAR        | Foraminifera    | 0.41134  | FCIR_M | TRUE     | FALSE              | 8          |
| (const)    | Krill           | 0.02195  | FCIR_M | TRUE     | FALSE              | 8          |
| salinity   | Krill           | 0.00393  | FCIR_M | TRUE     | FALSE              | 8          |
| water_temp | Krill           | -0.05201 | FCIR_M | TRUE     | FALSE              | 8          |
| PAR        | Krill           | -0.02778 | FCIR_M | TRUE     | FALSE              | 8          |
| (const)    | Other           | -1.45447 | FCIR_M | TRUE     | FALSE              | 8          |
| salinity   | Other           | 0.10477  | FCIR_M | TRUE     | FALSE              | 8          |
| water_temp | Other           | -0.10276 | FCIR_M | TRUE     | FALSE              | 8          |
| PAR        | Other           | 0.00000  | FCIR_M | FALSE    | FALSE              | 8          |
| (const)    | Pteropod        | 0.00000  | FCIR_M | FALSE    | TRUE               | 8          |
| salinity   | Pteropod        | 0.00000  | FCIR_M | FALSE    | TRUE               | 8          |
| water_temp | Pteropod        | 0.00000  | FCIR_M | FALSE    | TRUE               | 8          |
| PAR        | Pteropod        | 0.00000  | FCIR_M | FALSE    | TRUE               | 8          |
+------------+-----------------+----------+--------+----------+--------------------+------------+
