+-------------------------------+------------+----------+-----------------+------------+----------+
| species                       | env        | estimate | group           | prevalence | selected |
+-------------------------------+------------+----------+-----------------+------------+----------+
| oithona_similis               | (const)    | 1.14806  | Copepod         | 0.9206     | TRUE     |
| small_calanoid_copepods       | (const)    | 0.75023  | Copepod         | 0.8941     | TRUE     |
| fritillaria_sp                | (const)    | -1.28524 | Appendicularian | 0.5238     | TRUE     |
| foraminifera                  | (const)    | -0.63916 | Foraminifera    | 0.5150     | TRUE     |
| calanus_simillimus            | (const)    | -1.93219 | Copepod         | 0.4924     | TRUE     |
| oikopleura_sp                 | (const)    | -1.79102 | Appendicularian | 0.4227     | TRUE     |
| clausocalanus_brevipes        | (const)    | -2.55731 | Copepod         | 0.3716     | TRUE     |
| copepod_nauplius_indet        | (const)    | -2.79768 | Copepod         | 0.3308     | TRUE     |
| rhincalanus_gigas_nauplius    | (const)    | -3.22333 | Copepod         | 0.2821     | TRUE     |
| limacina_sp                   | (const)    | -2.84316 | Pteropod        | 0.2802     | TRUE     |
| clausocalanus_laticeps        | (const)    | -3.14163 | Copepod         | 0.2775     | TRUE     |
| ctenocalanus_sp_cf_citer      | (const)    | -3.64393 | Copepod         | 0.1998     | TRUE     |
| thysanoessa_macrura           | (const)    | -2.17379 | Krill           | 0.1911     | TRUE     |
| calanoides_acutus             | (const)    | -4.39053 | Copepod         | 0.1624     | TRUE     |
| ostracoda_indet               | (const)    | -4.43927 | Other           | 0.1587     | TRUE     |
| euphausiidae_furcilia_indet   | (const)    | -2.95058 | Krill           | 0.1233     | TRUE     |
| hyperiidae_indet              | (const)    | -3.22083 | Amphipod        | 0.1171     | TRUE     |
| chaetognath_indet             | (const)    | -3.34595 | Chaetognath     | 0.1168     | TRUE     |
| metridia_lucens               | (const)    | -6.72319 | Copepod         | 0.1060     | TRUE     |
| themisto_gaudichaudii         | (const)    | -3.22020 | Amphipod        | 0.1044     | TRUE     |
| neocalanus_tonsus             | (const)    | -5.81857 | Copepod         | 0.0930     | TRUE     |
| rhincalanus_gigas             | (const)    | -4.87051 | Copepod         | 0.0908     | TRUE     |
| radiozoa                      | (const)    | -4.63667 | Other           | 0.0741     | TRUE     |
| egg_indet                     | (const)    | -4.68754 | Other           | 0.0739     | TRUE     |
| thysanoessa_macrura_f6        | (const)    | -3.45946 | Krill           | 0.0728     | TRUE     |
| ctenocalanus_sp_cf_citer_2    | (const)    | -5.27884 | Copepod         | 0.0657     | TRUE     |
| thysanoessa_macrura_furcilia  | (const)    | -3.63079 | Krill           | 0.0655     | TRUE     |
| thysanoessa_macrura_f1        | (const)    | -3.56478 | Krill           | 0.0631     | TRUE     |
| euphausiidae_calyptopis_indet | (const)    | -3.67712 | Krill           | 0.0613     | TRUE     |
| eukrohnia_hamata              | (const)    | -4.21662 | Chaetognath     | 0.0545     | TRUE     |
| oithona_similis               | salinity   | -0.39998 | Copepod         | 0.9206     | TRUE     |
| small_calanoid_copepods       | salinity   | 0.00000  | Copepod         | 0.8941     | FALSE    |
| fritillaria_sp                | salinity   | -0.20747 | Appendicularian | 0.5238     | TRUE     |
| foraminifera                  | salinity   | 0.00000  | Foraminifera    | 0.5150     | FALSE    |
| calanus_simillimus            | salinity   | -0.45466 | Copepod         | 0.4924     | TRUE     |
| oikopleura_sp                 | salinity   | 0.00000  | Appendicularian | 0.4227     | FALSE    |
| clausocalanus_brevipes        | salinity   | -0.11291 | Copepod         | 0.3716     | TRUE     |
| copepod_nauplius_indet        | salinity   | -0.33111 | Copepod         | 0.3308     | TRUE     |
| rhincalanus_gigas_nauplius    | salinity   | -0.40508 | Copepod         | 0.2821     | TRUE     |
| limacina_sp                   | salinity   | -0.07545 | Pteropod        | 0.2802     | TRUE     |
| clausocalanus_laticeps        | salinity   | 0.00000  | Copepod         | 0.2775     | FALSE    |
| ctenocalanus_sp_cf_citer      | salinity   | 0.00000  | Copepod         | 0.1998     | FALSE    |
| thysanoessa_macrura           | salinity   | -0.36343 | Krill           | 0.1911     | TRUE     |
| calanoides_acutus             | salinity   | 0.00000  | Copepod         | 0.1624     | FALSE    |
| ostracoda_indet               | salinity   | -0.35799 | Other           | 0.1587     | TRUE     |
| euphausiidae_furcilia_indet   | salinity   | -0.31765 | Krill           | 0.1233     | TRUE     |
| hyperiidae_indet              | salinity   | -0.13138 | Amphipod        | 0.1171     | TRUE     |
| chaetognath_indet             | salinity   | 0.14529  | Chaetognath     | 0.1168     | TRUE     |
| metridia_lucens               | salinity   | 0.21748  | Copepod         | 0.1060     | TRUE     |
| themisto_gaudichaudii         | salinity   | -0.26356 | Amphipod        | 0.1044     | TRUE     |
| neocalanus_tonsus             | salinity   | 0.00000  | Copepod         | 0.0930     | FALSE    |
| rhincalanus_gigas             | salinity   | 0.16973  | Copepod         | 0.0908     | TRUE     |
| radiozoa                      | salinity   | 0.00000  | Other           | 0.0741     | FALSE    |
| egg_indet                     | salinity   | -0.28464 | Other           | 0.0739     | TRUE     |
| thysanoessa_macrura_f6        | salinity   | -0.56657 | Krill           | 0.0728     | TRUE     |
| ctenocalanus_sp_cf_citer_2    | salinity   | -0.57438 | Copepod         | 0.0657     | TRUE     |
| thysanoessa_macrura_furcilia  | salinity   | -0.05747 | Krill           | 0.0655     | TRUE     |
| thysanoessa_macrura_f1        | salinity   | 0.00000  | Krill           | 0.0631     | FALSE    |
| euphausiidae_calyptopis_indet | salinity   | 0.00000  | Krill           | 0.0613     | FALSE    |
| eukrohnia_hamata              | salinity   | 0.00000  | Chaetognath     | 0.0545     | FALSE    |
| oithona_similis               | water_temp | 0.21191  | Copepod         | 0.9206     | TRUE     |
| small_calanoid_copepods       | water_temp | 0.26282  | Copepod         | 0.8941     | TRUE     |
| fritillaria_sp                | water_temp | -0.27743 | Appendicularian | 0.5238     | TRUE     |
| foraminifera                  | water_temp | 0.50509  | Foraminifera    | 0.5150     | TRUE     |
| calanus_simillimus            | water_temp | 0.00000  | Copepod         | 0.4924     | FALSE    |
| oikopleura_sp                 | water_temp | 0.37376  | Appendicularian | 0.4227     | TRUE     |
| clausocalanus_brevipes        | water_temp | 0.34283  | Copepod         | 0.3716     | TRUE     |
| copepod_nauplius_indet        | water_temp | 0.00404  | Copepod         | 0.3308     | TRUE     |
| rhincalanus_gigas_nauplius    | water_temp | -0.58760 | Copepod         | 0.2821     | TRUE     |
| limacina_sp                   | water_temp | 0.00000  | Pteropod        | 0.2802     | FALSE    |
| clausocalanus_laticeps        | water_temp | 0.06207  | Copepod         | 0.2775     | TRUE     |
| ctenocalanus_sp_cf_citer      | water_temp | 0.36799  | Copepod         | 0.1998     | TRUE     |
