+-------------------------------+-------------------------------+-----------------+-----------------+----------+--------+--------+-------+-------+------+------------+-------+----------+----------+--------------+---------------+
| sp1                           | sp2                           | grp1            | grp2            | theta    | prev1  | prev2  | n11   | n10   | n01  | same_group | n00   | min_cell | selected | years_shared | years_jaccard |
+-------------------------------+-------------------------------+-----------------+-----------------+----------+--------+--------+-------+-------+------+------------+-------+----------+----------+--------------+---------------+
| ctenocalanus_sp_cf_citer      | ctenocalanus_sp_cf_citer_2    | Copepod         | Copepod         | -7.62793 | 0.1998 | 0.0657 | 0     | 5991  | 1970 | TRUE       | 22022 | 0        | TRUE     | 2            | 0.118         |
| ctenocalanus_sp_cf_citer_2    | thysanoessa_macrura_furcilia  | Copepod         | Krill           | -4.74008 | 0.0657 | 0.0655 | 0     | 1970  | 1965 | FALSE      | 26048 | 0        | TRUE     | 1            | 0.048         |
| oithona_similis               | small_calanoid_copepods       | Copepod         | Copepod         | 3.97762  | 0.9206 | 0.8941 | 25674 | 1928  | 1135 | TRUE       | 1246  | 1135     | TRUE     | 21           | 0.913         |
| ctenocalanus_sp_cf_citer      | radiozoa                      | Copepod         | Other           | -2.44753 | 0.1998 | 0.0741 | 73    | 5918  | 2150 | FALSE      | 21842 | 73       | TRUE     | 7            | 0.389         |
| clausocalanus_brevipes        | thysanoessa_macrura_furcilia  | Copepod         | Krill           | -2.35260 | 0.3716 | 0.0655 | 136   | 11005 | 1829 | FALSE      | 17013 | 136      | TRUE     | 11           | 0.524         |
| radiozoa                      | egg_indet                     | Other           | Other           | 2.31807  | 0.0741 | 0.0739 | 1141  | 1082  | 1075 | TRUE       | 26685 | 1075     | TRUE     | 11           | 0.611         |
| thysanoessa_macrura_f6        | thysanoessa_macrura_furcilia  | Krill           | Krill           | -2.29983 | 0.0728 | 0.0655 | 17    | 2167  | 1948 | TRUE       | 25851 | 17       | TRUE     | 10           | 0.476         |
| oithona_similis               | fritillaria_sp                | Copepod         | Appendicularian | 2.19973  | 0.9206 | 0.5238 | 15463 | 12139 | 243  | FALSE      | 2138  | 243      | TRUE     | 20           | 0.952         |
| egg_indet                     | thysanoessa_macrura_furcilia  | Other           | Krill           | -2.17990 | 0.0739 | 0.0655 | 3     | 2213  | 1962 | FALSE      | 25805 | 3        | TRUE     | 12           | 0.571         |
| copepod_nauplius_indet        | ctenocalanus_sp_cf_citer_2    | Copepod         | Copepod         | 2.10528  | 0.3308 | 0.0657 | 1577  | 8341  | 393  | TRUE       | 19672 | 393      | TRUE     | 6            | 0.375         |
| calanus_simillimus            | neocalanus_tonsus             | Copepod         | Copepod         | -1.85963 | 0.4924 | 0.0930 | 704   | 14061 | 2083 | TRUE       | 13135 | 704      | TRUE     | 16           | 0.762         |
| small_calanoid_copepods       | neocalanus_tonsus             | Copepod         | Copepod         | 1.65017  | 0.8941 | 0.0930 | 2650  | 24159 | 137  | TRUE       | 3037  | 137      | TRUE     | 16           | 0.696         |
