+-------------------------------+-----------------+------------+------------------+------------+-----------+
| species                       | group           | prevalence | n_years_recorded | first_year | last_year |
+-------------------------------+-----------------+------------+------------------+------------+-----------+
| ctenocalanus_sp_cf_citer_2    | Copepod         | 0.0657     | 6                | 2011       | 2016      |
| radiozoa                      | Other           | 0.0741     | 12               | 1998       | 2015      |
| ctenocalanus_sp_cf_citer      | Copepod         | 0.1998     | 13               | 1991       | 2014      |
| thysanoessa_macrura_f6        | Krill           | 0.0728     | 15               | 2002       | 2016      |
| thysanoessa_macrura_f1        | Krill           | 0.0631     | 15               | 2002       | 2016      |
| clausocalanus_brevipes        | Copepod         | 0.3716     | 16               | 2001       | 2016      |
| copepod_nauplius_indet        | Copepod         | 0.3308     | 16               | 2001       | 2016      |
| clausocalanus_laticeps        | Copepod         | 0.2775     | 16               | 2001       | 2016      |
| neocalanus_tonsus             | Copepod         | 0.0930     | 16               | 2001       | 2016      |
| thysanoessa_macrura_furcilia  | Krill           | 0.0655     | 16               | 1993       | 2012      |
| egg_indet                     | Other           | 0.0739     | 17               | 2000       | 2016      |
| euphausiidae_furcilia_indet   | Krill           | 0.1233     | 19               | 1998       | 2016      |
| metridia_lucens               | Copepod         | 0.1060     | 19               | 1997       | 2016      |
| euphausiidae_calyptopis_indet | Krill           | 0.0613     | 19               | 1998       | 2016      |
| fritillaria_sp                | Appendicularian | 0.5238     | 20               | 1997       | 2016      |
| rhincalanus_gigas_nauplius    | Copepod         | 0.2821     | 20               | 1997       | 2016      |
| ostracoda_indet               | Other           | 0.1587     | 20               | 1997       | 2016      |
| chaetognath_indet             | Chaetognath     | 0.1168     | 20               | 1991       | 2016      |
| rhincalanus_gigas             | Copepod         | 0.0908     | 20               | 1997       | 2016      |
| eukrohnia_hamata              | Chaetognath     | 0.0545     | 20               | 1997       | 2016      |
| oithona_similis               | Copepod         | 0.9206     | 21               | 1991       | 2016      |
| foraminifera                  | Foraminifera    | 0.5150     | 21               | 1991       | 2016      |
| calanus_simillimus            | Copepod         | 0.4924     | 21               | 1995       | 2016      |
| oikopleura_sp                 | Appendicularian | 0.4227     | 21               | 1991       | 2016      |
| hyperiidae_indet              | Amphipod        | 0.1171     | 21               | 1991       | 2016      |
| limacina_sp                   | Pteropod        | 0.2802     | 22               | 1991       | 2016      |
| thysanoessa_macrura           | Krill           | 0.1911     | 22               | 1991       | 2016      |
| calanoides_acutus             | Copepod         | 0.1624     | 22               | 1991       | 2016      |
| small_calanoid_copepods       | Copepod         | 0.8941     | 23               | 1991       | 2016      |
| themisto_gaudichaudii         | Amphipod        | 0.1044     | 24               | 1991       | 2016      |
+-------------------------------+-----------------+------------+------------------+------------+-----------+
