+---------+-----+----+-----------+---------+-----------------------+-------+
| Matrix  | N   | P  | n_nonzero | n_total | nonzero_recovery_rate | RMSE  |
+---------+-----+----+-----------+---------+-----------------------+-------+
| alpha_0 | 50  | 30 | 3         | 3       | 0.661                 | 0.107 |
| alpha_0 | 50  | 60 | 3         | 3       | 0.883                 | 0.060 |
| alpha_0 | 100 | 30 | 3         | 3       | 0.785                 | 0.073 |
| alpha_0 | 100 | 60 | 3         | 3       | 0.998                 | 0.030 |
| alpha_0 | 200 | 30 | 3         | 3       | 0.953                 | 0.039 |
| alpha_0 | 200 | 60 | 3         | 3       | 1.000                 | 0.020 |
| alpha_0 | 400 | 30 | 3         | 3       | 0.998                 | 0.027 |
| alpha_0 | 400 | 60 | 3         | 3       | 1.000                 | 0.018 |
| alpha_0 | 800 | 30 | 3         | 3       | 1.000                 | 0.016 |
| alpha_0 | 800 | 60 | 3         | 3       | 1.000                 | 0.014 |
| beta_0  | 50  | 30 | 3         | 3       | 0.725                 | 0.572 |
| beta_0  | 50  | 60 | 3         | 3       | 0.713                 | 0.559 |
| beta_0  | 100 | 30 | 3         | 3       | 0.754                 | 0.394 |
| beta_0  | 100 | 60 | 3         | 3       | 0.734                 | 0.281 |
| beta_0  | 200 | 30 | 3         | 3       | 0.783                 | 0.249 |
| beta_0  | 200 | 60 | 3         | 3       | 0.752                 | 0.183 |
| beta_0  | 400 | 30 | 3         | 3       | 0.799                 | 0.174 |
| beta_0  | 400 | 60 | 3         | 3       | 0.748                 | 0.138 |
| beta_0  | 800 | 30 | 3         | 3       | 0.789                 | 0.135 |
| beta_0  | 800 | 60 | 3         | 3       | 0.710                 | 0.113 |
+---------+-----+----+-----------+---------+-----------------------+-------+
