+--------+-----+----+-----------+---------+---------------------+-------------------------+-------+-------+
| Matrix | N   | P  | n_nonzero | n_total | no of correct zeros | no of correct non-zeros | F1    | RMSE  |
+--------+-----+----+-----------+---------+---------------------+-------------------------+-------+-------+
| A      | 50  | 30 | 2         | 6       | 3.000               | 1.818                   | 0.761 | 0.169 |
| A      | 50  | 60 | 2         | 6       | 3.553               | 2.000                   | 0.920 | 0.059 |
| A      | 100 | 30 | 2         | 6       | 3.445               | 2.000                   | 0.899 | 0.073 |
| A      | 100 | 60 | 2         | 6       | 3.534               | 2.000                   | 0.916 | 0.042 |
| A      | 200 | 30 | 2         | 6       | 3.403               | 2.000                   | 0.894 | 0.044 |
| A      | 200 | 60 | 2         | 6       | 3.651               | 2.000                   | 0.935 | 0.028 |
| A      | 400 | 30 | 2         | 6       | 3.464               | 2.000                   | 0.905 | 0.026 |
| A      | 400 | 60 | 2         | 6       | 3.843               | 2.000                   | 0.970 | 0.018 |
| A      | 800 | 30 | 2         | 6       | 3.603               | 2.000                   | 0.928 | 0.018 |
| A      | 800 | 60 | 2         | 6       | 3.949               | 2.000                   | 0.990 | 0.019 |
| B      | 50  | 30 | 3         | 6       | 1.841               | 2.763                   | 0.800 | 0.198 |
| B      | 50  | 60 | 3         | 6       | 1.180               | 2.960                   | 0.770 | 0.161 |
| B      | 100 | 30 | 3         | 6       | 1.582               | 2.973                   | 0.816 | 0.132 |
| B      | 100 | 60 | 3         | 6       | 1.156               | 2.994                   | 0.774 | 0.122 |
| B      | 200 | 30 | 3         | 6       | 1.338               | 3.000                   | 0.794 | 0.102 |
| B      | 200 | 60 | 3         | 6       | 1.041               | 3.000                   | 0.763 | 0.087 |
| B      | 400 | 30 | 3         | 6       | 1.451               | 3.000                   | 0.806 | 0.064 |
| B      | 400 | 60 | 3         | 6       | 1.276               | 3.000                   | 0.787 | 0.056 |
| B      | 800 | 30 | 3         | 6       | 1.544               | 3.000                   | 0.816 | 0.045 |
| B      | 800 | 60 | 3         | 6       | 1.731               | 3.000                   | 0.839 | 0.041 |
+--------+-----+----+-----------+---------+---------------------+-------------------------+-------+-------+
