+--------+-----+----+-----------+---------+---------------------+-------------------------+-------+-------+
| Matrix | N   | P  | n_nonzero | n_total | no of correct zeros | no of correct non-zeros | F1    | RMSE  |
+--------+-----+----+-----------+---------+---------------------+-------------------------+-------+-------+
| A      | 50  | 30 | 2         | 6       | 3.229               | 0.665                   | 0.313 | 0.088 |
| A      | 50  | 60 | 2         | 6       | 3.150               | 1.429                   | 0.641 | 0.058 |
| A      | 100 | 30 | 2         | 6       | 2.833               | 1.215                   | 0.509 | 0.075 |
| A      | 100 | 60 | 2         | 6       | 2.958               | 1.923                   | 0.799 | 0.033 |
| A      | 200 | 30 | 2         | 6       | 2.722               | 1.896                   | 0.756 | 0.039 |
| A      | 200 | 60 | 2         | 6       | 3.246               | 2.000                   | 0.869 | 0.015 |
| A      | 400 | 30 | 2         | 6       | 2.951               | 1.998                   | 0.820 | 0.023 |
| A      | 400 | 60 | 2         | 6       | 3.436               | 2.000                   | 0.899 | 0.009 |
| A      | 800 | 30 | 2         | 6       | 3.159               | 1.999                   | 0.855 | 0.016 |
| A      | 800 | 60 | 2         | 6       | 3.640               | 2.000                   | 0.934 | 0.007 |
| B      | 50  | 30 | 3         | 6       | 1.979               | 2.934                   | 0.856 | 0.159 |
| B      | 50  | 60 | 3         | 6       | 1.540               | 2.996                   | 0.817 | 0.137 |
| B      | 100 | 30 | 3         | 6       | 1.612               | 2.996                   | 0.824 | 0.116 |
| B      | 100 | 60 | 3         | 6       | 1.256               | 3.000                   | 0.786 | 0.087 |
| B      | 200 | 30 | 3         | 6       | 1.335               | 3.000                   | 0.794 | 0.081 |
| B      | 200 | 60 | 3         | 6       | 1.210               | 3.000                   | 0.781 | 0.061 |
| B      | 400 | 30 | 3         | 6       | 1.450               | 3.000                   | 0.806 | 0.051 |
| B      | 400 | 60 | 3         | 6       | 1.375               | 3.000                   | 0.799 | 0.040 |
| B      | 800 | 30 | 3         | 6       | 1.515               | 3.000                   | 0.813 | 0.039 |
| B      | 800 | 60 | 3         | 6       | 1.533               | 3.000                   | 0.815 | 0.028 |
+--------+-----+----+-----------+---------+---------------------+-------------------------+-------+-------+
