+----------+-----+----+-----------+---------+---------------------+-------------------------+-------+-------+
| Matrix   | N   | P  | n_nonzero | n_total | no of correct zeros | no of correct non-zeros | F1    | RMSE  |
+----------+-----+----+-----------+---------+---------------------+-------------------------+-------+-------+
| A        | 50  | 30 | 3         | 6       | 2.232               | 1.070                   | 0.355 | 0.139 |
| A        | 50  | 60 | 3         | 6       | 2.225               | 2.915                   | 0.881 | 0.076 |
| A        | 100 | 30 | 3         | 6       | 1.838               | 1.916                   | 0.609 | 0.131 |
| A        | 100 | 60 | 3         | 6       | 2.022               | 2.996                   | 0.871 | 0.042 |
| A        | 200 | 30 | 3         | 6       | 1.613               | 2.288                   | 0.683 | 0.110 |
| A        | 200 | 60 | 3         | 6       | 2.440               | 3.000                   | 0.924 | 0.028 |
| A        | 400 | 30 | 3         | 6       | 1.590               | 2.625                   | 0.751 | 0.081 |
| A        | 400 | 60 | 3         | 6       | 2.829               | 3.000                   | 0.976 | 0.027 |
| A        | 800 | 30 | 3         | 6       | 1.612               | 2.798                   | 0.786 | 0.054 |
| A        | 800 | 60 | 3         | 6       | 2.935               | 3.000                   | 0.991 | 0.020 |
| Beta_mat | 50  | 30 | 45        | 90      | 23.285              | 20.783                  | 0.471 | 4.316 |
| Beta_mat | 50  | 60 | 90        | 180     | 48.149              | 49.732                  | 0.545 | 4.358 |
| Beta_mat | 100 | 30 | 45        | 90      | 22.659              | 25.358                  | 0.544 | 4.763 |
| Beta_mat | 100 | 60 | 90        | 180     | 47.919              | 61.085                  | 0.632 | 0.647 |
| Beta_mat | 200 | 30 | 45        | 90      | 20.819              | 31.068                  | 0.619 | 0.969 |
| Beta_mat | 200 | 60 | 90        | 180     | 54.851              | 64.644                  | 0.681 | 0.403 |
| Beta_mat | 400 | 30 | 45        | 90      | 20.249              | 34.608                  | 0.663 | 0.692 |
| Beta_mat | 400 | 60 | 90        | 180     | 58.328              | 65.965                  | 0.703 | 0.365 |
| Beta_mat | 800 | 30 | 45        | 90      | 20.753              | 38.420                  | 0.714 | 0.516 |
| Beta_mat | 800 | 60 | 90        | 180     | 58.920              | 74.041                  | 0.759 | 0.320 |
| alpha_0  | 50  | 30 | 3         | 3       | 0.000               | 1.671                   | 0.604 | 0.177 |
| alpha_0  | 50  | 60 | 3         | 3       | 0.000               | 2.921                   | 0.984 | 0.091 |
| alpha_0  | 100 | 30 | 3         | 3       | 0.000               | 2.433                   | 0.854 | 0.145 |
| alpha_0  | 100 | 60 | 3         | 3       | 0.000               | 2.998                   | 1.000 | 0.047 |
| alpha_0  | 200 | 30 | 3         | 3       | 0.000               | 2.819                   | 0.957 | 0.099 |
| alpha_0  | 200 | 60 | 3         | 3       | 0.000               | 3.000                   | 1.000 | 0.038 |
| alpha_0  | 400 | 30 | 3         | 3       | 0.000               | 2.948                   | 0.989 | 0.081 |
| alpha_0  | 400 | 60 | 3         | 3       | 0.000               | 3.000                   | 1.000 | 0.044 |
| alpha_0  | 800 | 30 | 3         | 3       | 0.000               | 2.998                   | 1.000 | 0.046 |
| alpha_0  | 800 | 60 | 3         | 3       | 0.000               | 3.000                   | 1.000 | 0.034 |
+----------+-----+----+-----------+---------+---------------------+-------------------------+-------+-------+
