+----------+-----+----+-----------+---------+---------------------+-------------------------+-------+-------+
| Matrix   | N   | P  | n_nonzero | n_total | no of correct zeros | no of correct non-zeros | F1    | RMSE  |
+----------+-----+----+-----------+---------+---------------------+-------------------------+-------+-------+
| A        | 50  | 30 | 3         | 6       | 2.216               | 1.160                   | 0.387 | 0.140 |
| A        | 50  | 60 | 3         | 6       | 2.207               | 2.902                   | 0.876 | 0.078 |
| A        | 100 | 30 | 3         | 6       | 1.793               | 1.884                   | 0.595 | 0.136 |
| A        | 100 | 60 | 3         | 6       | 1.999               | 2.997                   | 0.869 | 0.043 |
| A        | 200 | 30 | 3         | 6       | 1.612               | 2.229                   | 0.670 | 0.112 |
| A        | 200 | 60 | 3         | 6       | 2.444               | 3.000                   | 0.924 | 0.029 |
| A        | 400 | 30 | 3         | 6       | 1.642               | 2.612                   | 0.753 | 0.079 |
| A        | 400 | 60 | 3         | 6       | 2.795               | 3.000                   | 0.971 | 0.025 |
| A        | 800 | 30 | 3         | 6       | 1.584               | 2.788                   | 0.781 | 0.055 |
| A        | 800 | 60 | 3         | 6       | 2.885               | 3.000                   | 0.984 | 0.023 |
| Beta_mat | 50  | 30 | 90        | 90      | 0.000               | 43.590                  | 0.649 | 4.539 |
| Beta_mat | 50  | 60 | 180       | 180     | 0.000               | 92.375                  | 0.676 | 4.560 |
| Beta_mat | 100 | 30 | 90        | 90      | 0.000               | 48.763                  | 0.700 | 5.015 |
| Beta_mat | 100 | 60 | 180       | 180     | 0.000               | 106.164                 | 0.741 | 0.667 |
| Beta_mat | 200 | 30 | 90        | 90      | 0.000               | 56.634                  | 0.771 | 0.982 |
| Beta_mat | 200 | 60 | 180       | 180     | 0.000               | 103.522                 | 0.730 | 0.433 |
| Beta_mat | 400 | 30 | 90        | 90      | 0.000               | 61.909                  | 0.814 | 0.728 |
| Beta_mat | 400 | 60 | 180       | 180     | 0.000               | 100.355                 | 0.716 | 0.394 |
| Beta_mat | 800 | 30 | 90        | 90      | 0.000               | 65.874                  | 0.845 | 0.552 |
| Beta_mat | 800 | 60 | 180       | 180     | 0.000               | 107.294                 | 0.747 | 0.360 |
| alpha_0  | 50  | 30 | 3         | 3       | 0.000               | 1.809                   | 0.655 | 0.173 |
| alpha_0  | 50  | 60 | 3         | 3       | 0.000               | 2.935                   | 0.987 | 0.092 |
| alpha_0  | 100 | 30 | 3         | 3       | 0.000               | 2.410                   | 0.847 | 0.146 |
| alpha_0  | 100 | 60 | 3         | 3       | 0.000               | 2.994                   | 0.999 | 0.050 |
| alpha_0  | 200 | 30 | 3         | 3       | 0.000               | 2.807                   | 0.954 | 0.101 |
| alpha_0  | 200 | 60 | 3         | 3       | 0.000               | 3.000                   | 1.000 | 0.039 |
| alpha_0  | 400 | 30 | 3         | 3       | 0.000               | 2.955                   | 0.990 | 0.079 |
| alpha_0  | 400 | 60 | 3         | 3       | 0.000               | 3.000                   | 1.000 | 0.039 |
| alpha_0  | 800 | 30 | 3         | 3       | 0.000               | 2.999                   | 1.000 | 0.048 |
| alpha_0  | 800 | 60 | 3         | 3       | 0.000               | 3.000                   | 1.000 | 0.037 |
+----------+-----+----+-----------+---------+---------------------+-------------------------+-------+-------+
