+----------+-----+----+-----------+---------+-------------------+---------------------+
| Matrix   | N   | P  | n_nonzero | n_total | Mean_RMSE         | SD_RMSE             |
+----------+-----+----+-----------+---------+-------------------+---------------------+
| A_mat    | 50  | 30 | 3         | 6       | 200000835073.792  | 4608398887425.410   |
| A_mat    | 100 | 30 | 3         | 6       | 0.291             | 0.159               |
| A_mat    | 200 | 30 | 3         | 6       | 0.152             | 0.073               |
| A_mat    | 400 | 30 | 3         | 6       | 0.097             | 0.044               |
| A_mat    | 800 | 30 | 3         | 6       | 0.072             | 0.034               |
| A_mat    | 50  | 60 | 3         | 6       | 0.125             | 0.055               |
| A_mat    | 100 | 60 | 3         | 6       | 0.066             | 0.028               |
| A_mat    | 200 | 60 | 3         | 6       | 0.041             | 0.016               |
| A_mat    | 400 | 60 | 3         | 6       | 0.028             | 0.011               |
| A_mat    | 800 | 60 | 3         | 6       | 0.020             | 0.007               |
| Beta_mat | 50  | 30 | 60        | 90      | 6331522021337.800 | 142088541415746.000 |
| Beta_mat | 100 | 30 | 60        | 90      | 134.285           | 357.316             |
| Beta_mat | 200 | 30 | 60        | 90      | 6.601             | 99.296              |
| Beta_mat | 400 | 30 | 60        | 90      | 1.043             | 0.287               |
| Beta_mat | 800 | 30 | 60        | 90      | 0.673             | 0.143               |
| Beta_mat | 50  | 60 | 120       | 180     | 118.742           | 194.950             |
| Beta_mat | 100 | 60 | 120       | 180     | 3.193             | 20.966              |
| Beta_mat | 200 | 60 | 120       | 180     | 0.484             | 0.096               |
| Beta_mat | 400 | 60 | 120       | 180     | 0.311             | 0.044               |
| Beta_mat | 800 | 60 | 120       | 180     | 0.204             | 0.027               |
| alpha_0  | 50  | 30 | 3         | 3       | 301399832987.951  | 7552005465160.140   |
| alpha_0  | 100 | 30 | 3         | 3       | 0.312             | 0.205               |
| alpha_0  | 200 | 30 | 3         | 3       | 0.135             | 0.088               |
| alpha_0  | 400 | 30 | 3         | 3       | 0.097             | 0.060               |
| alpha_0  | 800 | 30 | 3         | 3       | 0.065             | 0.041               |
| alpha_0  | 50  | 60 | 3         | 3       | 0.150             | 0.096               |
| alpha_0  | 100 | 60 | 3         | 3       | 0.074             | 0.048               |
| alpha_0  | 200 | 60 | 3         | 3       | 0.046             | 0.028               |
| alpha_0  | 400 | 60 | 3         | 3       | 0.032             | 0.019               |
| alpha_0  | 800 | 60 | 3         | 3       | 0.020             | 0.011               |
+----------+-----+----+-----------+---------+-------------------+---------------------+
