+----------+-----+----+-----------+---------+---------------------+-------------------------+-------+-------+
| Matrix   | N   | P  | n_nonzero | n_total | no of correct zeros | no of correct non-zeros | F1    | RMSE  |
+----------+-----+----+-----------+---------+---------------------+-------------------------+-------+-------+
| A        | 50  | 30 | 3         | 6       | 1.691               | 2.477                   | 0.725 | 0.116 |
| A        | 50  | 60 | 3         | 6       | 1.885               | 2.957                   | 0.847 | 0.053 |
| A        | 100 | 30 | 3         | 6       | 1.824               | 2.901                   | 0.830 | 0.067 |
| A        | 100 | 60 | 3         | 6       | 1.807               | 3.000                   | 0.847 | 0.027 |
| A        | 200 | 30 | 3         | 6       | 1.826               | 2.995                   | 0.848 | 0.044 |
| A        | 200 | 60 | 3         | 6       | 1.930               | 3.000                   | 0.861 | 0.020 |
| A        | 400 | 30 | 3         | 6       | 1.982               | 3.000                   | 0.867 | 0.027 |
| A        | 400 | 60 | 3         | 6       | 2.593               | 3.000                   | 0.944 | 0.012 |
| A        | 800 | 30 | 3         | 6       | 2.094               | 3.000                   | 0.881 | 0.020 |
| A        | 800 | 60 | 3         | 6       | 2.810               | 3.000                   | 0.973 | 0.011 |
| Beta_mat | 50  | 30 | 60        | 90      | 22.636              | 48.022                  | 0.832 | 1.108 |
| Beta_mat | 50  | 60 | 120       | 180     | 47.420              | 86.372                  | 0.788 | 2.125 |
| Beta_mat | 100 | 30 | 60        | 90      | 21.989              | 54.060                  | 0.886 | 0.470 |
| Beta_mat | 100 | 60 | 120       | 180     | 44.162              | 102.422                 | 0.859 | 0.888 |
| Beta_mat | 200 | 30 | 60        | 90      | 21.435              | 58.177                  | 0.919 | 0.309 |
| Beta_mat | 200 | 60 | 120       | 180     | 46.116              | 111.858                 | 0.910 | 0.351 |
| Beta_mat | 400 | 30 | 60        | 90      | 22.293              | 59.836                  | 0.939 | 0.202 |
| Beta_mat | 400 | 60 | 120       | 180     | 57.040              | 111.497                 | 0.951 | 0.283 |
| Beta_mat | 800 | 30 | 60        | 90      | 23.371              | 59.994                  | 0.948 | 0.140 |
| Beta_mat | 800 | 60 | 120       | 180     | 59.389              | 114.776                 | 0.975 | 0.241 |
| alpha_0  | 50  | 30 | 3         | 3       | 0.000               | 2.156                   | 0.792 | 0.119 |
| alpha_0  | 50  | 60 | 3         | 3       | 0.000               | 2.655                   | 0.924 | 0.060 |
| alpha_0  | 100 | 30 | 3         | 3       | 0.000               | 2.451                   | 0.873 | 0.083 |
| alpha_0  | 100 | 60 | 3         | 3       | 0.000               | 2.907                   | 0.980 | 0.035 |
| alpha_0  | 200 | 30 | 3         | 3       | 0.000               | 2.692                   | 0.931 | 0.056 |
| alpha_0  | 200 | 60 | 3         | 3       | 0.000               | 2.987                   | 0.997 | 0.023 |
| alpha_0  | 400 | 30 | 3         | 3       | 0.000               | 2.886                   | 0.977 | 0.037 |
| alpha_0  | 400 | 60 | 3         | 3       | 0.000               | 2.996                   | 0.999 | 0.019 |
| alpha_0  | 800 | 30 | 3         | 3       | 0.000               | 2.970                   | 0.994 | 0.025 |
| alpha_0  | 800 | 60 | 3         | 3       | 0.000               | 3.000                   | 1.000 | 0.012 |
+----------+-----+----+-----------+---------+---------------------+-------------------------+-------+-------+
