+----------+-----+----+-----------+---------+-------------------+--------------------+
| Matrix   | N   | P  | n_nonzero | n_total | Mean_RMSE         | SD_RMSE            |
+----------+-----+----+-----------+---------+-------------------+--------------------+
| A_mat    | 50  | 30 | 3         | 6       | 0.153             | 0.057              |
| A_mat    | 100 | 30 | 3         | 6       | 0.077             | 0.030              |
| A_mat    | 200 | 30 | 3         | 6       | 0.051             | 0.019              |
| A_mat    | 400 | 30 | 3         | 6       | 0.033             | 0.012              |
| A_mat    | 800 | 30 | 3         | 6       | 0.025             | 0.009              |
| A_mat    | 50  | 60 | 3         | 6       | 475337487854.679  | 5759240518804.560  |
| A_mat    | 100 | 60 | 3         | 6       | 0.043             | 0.015              |
| A_mat    | 200 | 60 | 3         | 6       | 0.030             | 0.011              |
| A_mat    | 400 | 60 | 3         | 6       | 0.019             | 0.006              |
| A_mat    | 800 | 60 | 3         | 6       | 0.013             | 0.005              |
| Beta_mat | 50  | 30 | 60        | 90      | 9.327             | 32.933             |
| Beta_mat | 100 | 30 | 60        | 90      | 1.204             | 18.228             |
| Beta_mat | 200 | 30 | 60        | 90      | 0.339             | 0.066              |
| Beta_mat | 400 | 30 | 60        | 90      | 0.221             | 0.043              |
| Beta_mat | 800 | 30 | 60        | 90      | 0.156             | 0.029              |
| Beta_mat | 50  | 60 | 120       | 180     | 4033385328303.498 | 45852281801266.367 |
| Beta_mat | 100 | 60 | 120       | 180     | 50.438            | 528.451            |
| Beta_mat | 200 | 60 | 120       | 180     | 0.425             | 0.179              |
| Beta_mat | 400 | 60 | 120       | 180     | 0.265             | 0.035              |
| Beta_mat | 800 | 60 | 120       | 180     | 0.185             | 0.024              |
| alpha_0  | 50  | 30 | 3         | 3       | 0.167             | 0.102              |
| alpha_0  | 100 | 30 | 3         | 3       | 0.098             | 0.058              |
| alpha_0  | 200 | 30 | 3         | 3       | 0.061             | 0.034              |
| alpha_0  | 400 | 30 | 3         | 3       | 0.039             | 0.022              |
| alpha_0  | 800 | 30 | 3         | 3       | 0.028             | 0.015              |
| alpha_0  | 50  | 60 | 3         | 3       | 261305607443.150  | 3333152007465.388  |
| alpha_0  | 100 | 60 | 3         | 3       | 0.051             | 0.032              |
| alpha_0  | 200 | 60 | 3         | 3       | 0.034             | 0.020              |
| alpha_0  | 400 | 60 | 3         | 3       | 0.024             | 0.013              |
| alpha_0  | 800 | 60 | 3         | 3       | 0.014             | 0.008              |
+----------+-----+----+-----------+---------+-------------------+--------------------+
