+-----------+-----+----+-----------+---------+---------------------+-------------------------+-------+-------+
| Matrix    | N   | P  | n_nonzero | n_total | no of correct zeros | no of correct non-zeros | F1    | RMSE  |
+-----------+-----+----+-----------+---------+---------------------+-------------------------+-------+-------+
| B         | 50  | 10 | 3         | 6       | 2.428               | 1.830                   | 0.643 | 0.626 |
| B         | 50  | 20 | 3         | 6       | 2.357               | 2.565                   | 0.826 | 0.383 |
| B         | 100 | 10 | 3         | 6       | 2.337               | 2.874                   | 0.887 | 0.244 |
| B         | 100 | 20 | 3         | 6       | 2.362               | 2.549                   | 0.826 | 0.372 |
| B         | 200 | 10 | 3         | 6       | 2.247               | 2.728                   | 0.847 | 0.207 |
| B         | 200 | 20 | 3         | 6       | 2.168               | 2.577                   | 0.809 | 0.231 |
| B         | 400 | 10 | 3         | 6       | 2.038               | 2.960                   | 0.867 | 0.195 |
| B         | 400 | 20 | 3         | 6       | 2.284               | 2.647                   | 0.836 | 0.225 |
| B         | 800 | 10 | 3         | 6       | 2.018               | 2.998                   | 0.872 | 0.077 |
| B         | 800 | 20 | 3         | 6       | 2.266               | 2.997                   | 0.901 | 0.072 |
| Theta_int | 50  | 10 | 23        | 45      | 14.802              | 11.209                  | 0.535 | 0.860 |
| Theta_int | 50  | 20 | 95        | 190     | 62.522              | 45.758                  | 0.526 | 0.674 |
| Theta_int | 100 | 10 | 23        | 45      | 14.724              | 15.342                  | 0.670 | 0.557 |
| Theta_int | 100 | 20 | 95        | 190     | 65.124              | 52.288                  | 0.589 | 0.634 |
| Theta_int | 200 | 10 | 23        | 45      | 14.679              | 18.864                  | 0.768 | 0.363 |
| Theta_int | 200 | 20 | 95        | 190     | 63.848              | 67.993                  | 0.700 | 0.423 |
| Theta_int | 400 | 10 | 23        | 45      | 13.506              | 19.530                  | 0.766 | 0.281 |
| Theta_int | 400 | 20 | 95        | 190     | 63.177              | 76.026                  | 0.750 | 0.409 |
| Theta_int | 800 | 10 | 23        | 45      | 14.645              | 22.377                  | 0.851 | 0.156 |
| Theta_int | 800 | 20 | 95        | 190     | 64.802              | 91.314                  | 0.844 | 0.230 |
| beta_0    | 50  | 10 | 3         | 3       | 0.000               | 1.283                   | 0.584 | 0.504 |
| beta_0    | 50  | 20 | 3         | 3       | 0.000               | 1.363                   | 0.609 | 0.197 |
| beta_0    | 100 | 10 | 3         | 3       | 0.000               | 1.202                   | 0.559 | 0.559 |
| beta_0    | 100 | 20 | 3         | 3       | 0.000               | 1.447                   | 0.634 | 0.543 |
| beta_0    | 200 | 10 | 3         | 3       | 0.000               | 1.999                   | 0.800 | 0.286 |
| beta_0    | 200 | 20 | 3         | 3       | 0.000               | 2.000                   | 0.800 | 0.368 |
| beta_0    | 400 | 10 | 3         | 3       | 0.000               | 1.992                   | 0.798 | 0.481 |
| beta_0    | 400 | 20 | 3         | 3       | 0.000               | 1.996                   | 0.799 | 0.551 |
| beta_0    | 800 | 10 | 3         | 3       | 0.000               | 1.638                   | 0.691 | 0.091 |
| beta_0    | 800 | 20 | 3         | 3       | 0.000               | 2.000                   | 0.800 | 0.213 |
+-----------+-----+----+-----------+---------+---------------------+-------------------------+-------+-------+
