+-----------+-----+----+-----------+---------+---------------------+-------------------------+-------+-------+
| Matrix    | N   | P  | n_nonzero | n_total | no of correct zeros | no of correct non-zeros | F1    | RMSE  |
+-----------+-----+----+-----------+---------+---------------------+-------------------------+-------+-------+
| B         | 50  | 10 | 3         | 6       | 2.249               | 2.528                   | 0.809 | 0.251 |
| B         | 100 | 10 | 3         | 6       | 2.247               | 2.829                   | 0.867 | 0.173 |
| B         | 200 | 10 | 3         | 6       | 2.201               | 2.995                   | 0.893 | 0.110 |
| B         | 400 | 10 | 3         | 6       | 2.149               | 3.000                   | 0.887 | 0.091 |
| B         | 800 | 10 | 3         | 6       | 2.120               | 3.000                   | 0.883 | 0.078 |
| B         | 50  | 20 | 3         | 6       | 2.276               | 2.400                   | 0.782 | 0.285 |
| B         | 100 | 20 | 3         | 6       | 2.308               | 2.990                   | 0.905 | 0.114 |
| B         | 200 | 20 | 3         | 6       | 2.150               | 2.998                   | 0.887 | 0.094 |
| B         | 400 | 20 | 3         | 6       | 2.176               | 3.000                   | 0.890 | 0.057 |
| B         | 800 | 20 | 3         | 6       | 2.133               | 3.000                   | 0.884 | 0.045 |
| Theta_int | 50  | 10 | 15        | 45      | 22.268              | 4.568                   | 0.322 | 0.320 |
| Theta_int | 100 | 10 | 15        | 45      | 22.153              | 5.510                   | 0.380 | 0.239 |
| Theta_int | 200 | 10 | 15        | 45      | 22.300              | 6.702                   | 0.450 | 0.188 |
| Theta_int | 400 | 10 | 15        | 45      | 21.551              | 8.994                   | 0.553 | 0.149 |
| Theta_int | 800 | 10 | 15        | 45      | 21.632              | 11.123                  | 0.646 | 0.118 |
| Theta_int | 50  | 20 | 63        | 190     | 93.735              | 18.517                  | 0.316 | 0.386 |
| Theta_int | 100 | 20 | 63        | 190     | 97.698              | 19.402                  | 0.342 | 0.241 |
| Theta_int | 200 | 20 | 63        | 190     | 98.106              | 23.864                  | 0.409 | 0.188 |
| Theta_int | 400 | 20 | 63        | 190     | 96.190              | 31.230                  | 0.498 | 0.157 |
| Theta_int | 800 | 20 | 63        | 190     | 93.016              | 43.476                  | 0.619 | 0.126 |
| beta_0    | 50  | 10 | 3         | 3       | 0.000               | 2.325                   | 0.864 | 0.206 |
| beta_0    | 100 | 10 | 3         | 3       | 0.000               | 2.386                   | 0.877 | 0.136 |
| beta_0    | 200 | 10 | 3         | 3       | 0.000               | 2.623                   | 0.925 | 0.100 |
| beta_0    | 400 | 10 | 3         | 3       | 0.000               | 2.875                   | 0.975 | 0.080 |
| beta_0    | 800 | 10 | 3         | 3       | 0.000               | 2.997                   | 0.999 | 0.058 |
| beta_0    | 50  | 20 | 3         | 3       | 0.000               | 2.261                   | 0.852 | 0.224 |
| beta_0    | 100 | 20 | 3         | 3       | 0.000               | 2.446                   | 0.889 | 0.148 |
| beta_0    | 200 | 20 | 3         | 3       | 0.000               | 2.800                   | 0.960 | 0.114 |
| beta_0    | 400 | 20 | 3         | 3       | 0.000               | 2.971                   | 0.994 | 0.082 |
| beta_0    | 800 | 20 | 3         | 3       | 0.000               | 3.000                   | 1.000 | 0.059 |
+-----------+-----+----+-----------+---------+---------------------+-------------------------+-------+-------+
