+----------+-----+----+-----------+---------+---------------------+-------------------------+-------+-------+
| Matrix   | N   | P  | n_nonzero | n_total | no of correct zeros | no of correct non-zeros | F1    | RMSE  |
+----------+-----+----+-----------+---------+---------------------+-------------------------+-------+-------+
| Theta    | 50  | 10 | 15        | 45      | 25.170              | 4.000                   | 0.302 | 0.411 |
| Theta    | 50  | 20 | 63        | 190     | 100.470             | 19.075                  | 0.339 | 0.457 |
| Theta    | 100 | 10 | 15        | 45      | 24.630              | 5.900                   | 0.425 | 0.314 |
| Theta    | 100 | 20 | 63        | 190     | 98.625              | 27.530                  | 0.458 | 0.329 |
| Theta    | 200 | 10 | 15        | 45      | 23.050              | 9.330                   | 0.587 | 0.255 |
| Theta    | 200 | 20 | 63        | 190     | 94.655              | 41.150                  | 0.602 | 0.262 |
| Theta    | 400 | 10 | 15        | 45      | 22.320              | 13.055                  | 0.734 | 0.188 |
| Theta    | 400 | 20 | 63        | 190     | 90.930              | 54.175                  | 0.708 | 0.194 |
| Theta    | 800 | 10 | 15        | 45      | 22.275              | 14.650                  | 0.790 | 0.128 |
| Theta    | 800 | 20 | 63        | 190     | 91.795              | 61.330                  | 0.771 | 0.134 |
| theta_jj | 50  | 10 | 3         | 10      | 0.095               | 2.980                   | 0.463 | 0.788 |
| theta_jj | 50  | 20 | 7         | 20      | 0.045               | 6.975                   | 0.518 | 1.059 |
| theta_jj | 100 | 10 | 3         | 10      | 0.010               | 2.990                   | 0.461 | 0.556 |
| theta_jj | 100 | 20 | 7         | 20      | 0.010               | 7.000                   | 0.519 | 0.735 |
| theta_jj | 200 | 10 | 3         | 10      | 0.000               | 2.995                   | 0.461 | 0.459 |
| theta_jj | 200 | 20 | 7         | 20      | 0.000               | 7.000                   | 0.519 | 0.562 |
| theta_jj | 400 | 10 | 3         | 10      | 0.000               | 3.000                   | 0.462 | 0.327 |
| theta_jj | 400 | 20 | 7         | 20      | 0.000               | 7.000                   | 0.519 | 0.421 |
| theta_jj | 800 | 10 | 3         | 10      | 0.000               | 3.000                   | 0.462 | 0.228 |
| theta_jj | 800 | 20 | 7         | 20      | 0.000               | 7.000                   | 0.519 | 0.294 |
+----------+-----+----+-----------+---------+---------------------+-------------------------+-------+-------+
