+----------+-----+----+-----------+---------+---------------------+-------------------------+-------+-------+
| Matrix   | N   | P  | n_nonzero | n_total | no of correct zeros | no of correct non-zeros | F1    | RMSE  |
+----------+-----+----+-----------+---------+---------------------+-------------------------+-------+-------+
| Theta    | 50  | 10 | 15        | 45      | 26.610              | 3.160                   | 0.281 | 0.442 |
| Theta    | 50  | 20 | 63        | 190     | 115.390             | 10.340                  | 0.240 | 0.503 |
| Theta    | 100 | 10 | 15        | 45      | 26.555              | 4.665                   | 0.391 | 0.328 |
| Theta    | 100 | 20 | 63        | 190     | 112.000             | 18.815                  | 0.384 | 0.341 |
| Theta    | 200 | 10 | 15        | 45      | 25.805              | 7.575                   | 0.557 | 0.265 |
| Theta    | 200 | 20 | 63        | 190     | 108.215             | 32.330                  | 0.565 | 0.272 |
| Theta    | 400 | 10 | 15        | 45      | 25.205              | 11.515                  | 0.735 | 0.197 |
| Theta    | 400 | 20 | 63        | 190     | 103.825             | 49.630                  | 0.731 | 0.199 |
| Theta    | 800 | 10 | 15        | 45      | 24.855              | 14.230                  | 0.832 | 0.131 |
| Theta    | 800 | 20 | 63        | 190     | 102.635             | 60.240                  | 0.817 | 0.137 |
| theta_jj | 50  | 10 | 3         | 10      | 0.110               | 2.960                   | 0.461 | 0.845 |
| theta_jj | 50  | 20 | 7         | 20      | 0.115               | 6.915                   | 0.516 | 1.315 |
| theta_jj | 100 | 10 | 3         | 10      | 0.020               | 2.980                   | 0.460 | 0.577 |
| theta_jj | 100 | 20 | 7         | 20      | 0.035               | 6.985                   | 0.518 | 0.776 |
| theta_jj | 200 | 10 | 3         | 10      | 0.000               | 2.995                   | 0.461 | 0.472 |
| theta_jj | 200 | 20 | 7         | 20      | 0.000               | 6.990                   | 0.518 | 0.588 |
| theta_jj | 400 | 10 | 3         | 10      | 0.000               | 3.000                   | 0.462 | 0.340 |
| theta_jj | 400 | 20 | 7         | 20      | 0.000               | 7.000                   | 0.519 | 0.438 |
| theta_jj | 800 | 10 | 3         | 10      | 0.000               | 3.000                   | 0.462 | 0.235 |
| theta_jj | 800 | 20 | 7         | 20      | 0.000               | 7.000                   | 0.519 | 0.301 |
+----------+-----+----+-----------+---------+---------------------+-------------------------+-------+-------+
