+---------+-----+----+-----------+---------+-----------------------+-------+
| Matrix  | N   | P  | n_nonzero | n_total | nonzero_recovery_rate | RMSE  |
+---------+-----+----+-----------+---------+-----------------------+-------+
| alpha_0 | 50  | 30 | 3         | 3       | 0.879                 | 0.299 |
| alpha_0 | 50  | 60 | 3         | 3       | 1.000                 | 0.106 |
| alpha_0 | 100 | 30 | 3         | 3       | 0.997                 | 0.123 |
| alpha_0 | 100 | 60 | 3         | 3       | 1.000                 | 0.074 |
| alpha_0 | 200 | 30 | 3         | 3       | 1.000                 | 0.071 |
| alpha_0 | 200 | 60 | 3         | 3       | 1.000                 | 0.048 |
| alpha_0 | 400 | 30 | 3         | 3       | 1.000                 | 0.044 |
| alpha_0 | 400 | 60 | 3         | 3       | 1.000                 | 0.033 |
| alpha_0 | 800 | 30 | 3         | 3       | 1.000                 | 0.031 |
| alpha_0 | 800 | 60 | 3         | 3       | 1.000                 | 0.036 |
| beta_0  | 50  | 30 | 3         | 3       | 0.931                 | 0.528 |
| beta_0  | 50  | 60 | 3         | 3       | 1.000                 | 0.294 |
| beta_0  | 100 | 30 | 3         | 3       | 1.000                 | 0.265 |
| beta_0  | 100 | 60 | 3         | 3       | 1.000                 | 0.212 |
| beta_0  | 200 | 30 | 3         | 3       | 1.000                 | 0.159 |
| beta_0  | 200 | 60 | 3         | 3       | 1.000                 | 0.139 |
| beta_0  | 400 | 30 | 3         | 3       | 1.000                 | 0.105 |
| beta_0  | 400 | 60 | 3         | 3       | 1.000                 | 0.097 |
| beta_0  | 800 | 30 | 3         | 3       | 1.000                 | 0.074 |
| beta_0  | 800 | 60 | 3         | 3       | 1.000                 | 0.086 |
+---------+-----+----+-----------+---------+-----------------------+-------+
