+--------+-----+----+-----------+---------+---------------------+-------------------------+-------+-------+
| Matrix | N   | P  | n_nonzero | n_total | no of correct zeros | no of correct non-zeros | F1    | RMSE  |
+--------+-----+----+-----------+---------+---------------------+-------------------------+-------+-------+
| A      | 50  | 30 | 3         | 6       | 2.066               | 2.822                   | 0.844 | 0.086 |
| A      | 50  | 60 | 3         | 6       | 2.091               | 3.000                   | 0.881 | 0.046 |
| A      | 100 | 30 | 3         | 6       | 2.022               | 2.992                   | 0.872 | 0.051 |
| A      | 100 | 60 | 3         | 6       | 2.282               | 3.000                   | 0.905 | 0.025 |
| A      | 200 | 30 | 3         | 6       | 2.140               | 3.000                   | 0.887 | 0.032 |
| A      | 200 | 60 | 3         | 6       | 2.609               | 3.000                   | 0.946 | 0.018 |
| A      | 400 | 30 | 3         | 6       | 2.389               | 3.000                   | 0.918 | 0.023 |
| A      | 400 | 60 | 3         | 6       | 2.840               | 3.000                   | 0.977 | 0.016 |
| A      | 800 | 30 | 3         | 6       | 2.741               | 3.000                   | 0.964 | 0.014 |
| A      | 800 | 60 | 3         | 6       | 2.984               | 3.000                   | 0.998 | 0.013 |
| B      | 50  | 30 | 3         | 6       | 2.318               | 2.714                   | 0.853 | 0.231 |
| B      | 50  | 60 | 3         | 6       | 2.221               | 2.729                   | 0.844 | 0.220 |
| B      | 100 | 30 | 3         | 6       | 2.165               | 2.937                   | 0.879 | 0.143 |
| B      | 100 | 60 | 3         | 6       | 2.310               | 2.907                   | 0.889 | 0.140 |
| B      | 200 | 30 | 3         | 6       | 2.238               | 2.999                   | 0.899 | 0.098 |
| B      | 200 | 60 | 3         | 6       | 2.566               | 2.994                   | 0.939 | 0.088 |
| B      | 400 | 30 | 3         | 6       | 2.428               | 3.000                   | 0.923 | 0.063 |
| B      | 400 | 60 | 3         | 6       | 2.843               | 3.000                   | 0.978 | 0.054 |
| B      | 800 | 30 | 3         | 6       | 2.793               | 3.000                   | 0.971 | 0.045 |
| B      | 800 | 60 | 3         | 6       | 2.983               | 3.000                   | 0.998 | 0.053 |
+--------+-----+----+-----------+---------+---------------------+-------------------------+-------+-------+
