+---------+-----+----+-----------+---------+-----------------------+-------+
| Matrix  | N   | P  | n_nonzero | n_total | nonzero_recovery_rate | RMSE  |
+---------+-----+----+-----------+---------+-----------------------+-------+
| alpha_0 | 50  | 30 | 3         | 3       | 0.929                 | 0.259 |
| alpha_0 | 50  | 60 | 3         | 3       | 1.000                 | 0.105 |
| alpha_0 | 100 | 30 | 3         | 3       | 1.000                 | 0.116 |
| alpha_0 | 100 | 60 | 3         | 3       | 1.000                 | 0.075 |
| alpha_0 | 200 | 30 | 3         | 3       | 1.000                 | 0.068 |
| alpha_0 | 200 | 60 | 3         | 3       | 1.000                 | 0.048 |
| alpha_0 | 400 | 30 | 3         | 3       | 1.000                 | 0.043 |
| alpha_0 | 400 | 60 | 3         | 3       | 1.000                 | 0.033 |
| alpha_0 | 800 | 30 | 3         | 3       | 1.000                 | 0.030 |
| alpha_0 | 800 | 60 | 3         | 3       | 1.000                 | 0.037 |
| beta_0  | 50  | 30 | 3         | 3       | 0.942                 | 0.508 |
| beta_0  | 50  | 60 | 3         | 3       | 0.999                 | 0.298 |
| beta_0  | 100 | 30 | 3         | 3       | 1.000                 | 0.255 |
| beta_0  | 100 | 60 | 3         | 3       | 1.000                 | 0.223 |
| beta_0  | 200 | 30 | 3         | 3       | 1.000                 | 0.159 |
| beta_0  | 200 | 60 | 3         | 3       | 1.000                 | 0.138 |
| beta_0  | 400 | 30 | 3         | 3       | 1.000                 | 0.103 |
| beta_0  | 400 | 60 | 3         | 3       | 1.000                 | 0.096 |
| beta_0  | 800 | 30 | 3         | 3       | 1.000                 | 0.074 |
| beta_0  | 800 | 60 | 3         | 3       | 1.000                 | 0.088 |
+---------+-----+----+-----------+---------+-----------------------+-------+
