+-----+----+---------+-----------+--------+--------------------+-----------------+-------------------+
| N   | P  | block   | true_zero | n_elem | mean_abs_beta_init | mean_pen_factor | median_pen_factor |
+-----+----+---------+-----------+--------+--------------------+-----------------+-------------------+
| 50  | 30 | A       | FALSE     | 10     | 0.750              | 0.115           | 0.072             |
| 50  | 30 | A       | TRUE      | 20     | 0.173              | 1.533           | 0.411             |
| 50  | 30 | B       | FALSE     | 15     | 0.412              | 0.323           | 0.189             |
| 50  | 30 | B       | TRUE      | 15     | 0.154              | 3.058           | 0.571             |
| 50  | 30 | alpha_0 | FALSE     | 15     | 0.799              | 0.110           | 0.085             |
| 50  | 30 | beta_0  | FALSE     | 10     | 1.330              | 0.082           | 0.047             |
| 200 | 30 | A       | FALSE     | 10     | 0.656              | 0.104           | 0.091             |
| 200 | 30 | A       | TRUE      | 20     | 0.045              | 2.807           | 1.778             |
| 200 | 30 | B       | FALSE     | 15     | 0.382              | 0.212           | 0.159             |
| 200 | 30 | B       | TRUE      | 15     | 0.078              | 1.485           | 0.805             |
| 200 | 30 | alpha_0 | FALSE     | 15     | 0.643              | 0.114           | 0.086             |
| 200 | 30 | beta_0  | FALSE     | 10     | 1.163              | 0.065           | 0.054             |
| 800 | 30 | A       | FALSE     | 10     | 0.615              | 0.036           | 0.032             |
| 800 | 30 | A       | TRUE      | 20     | 0.022              | 2.043           | 1.511             |
| 800 | 30 | B       | FALSE     | 15     | 0.350              | 0.069           | 0.060             |
| 800 | 30 | B       | TRUE      | 15     | 0.037              | 2.798           | 0.687             |
| 800 | 30 | alpha_0 | FALSE     | 15     | 0.589              | 0.038           | 0.035             |
| 800 | 30 | beta_0  | FALSE     | 10     | 1.096              | 0.021           | 0.018             |
+-----+----+---------+-----------+--------+--------------------+-----------------+-------------------+
