+---------+-----+----+-----------+---------+-----------------------+-------+
| Matrix  | N   | P  | n_nonzero | n_total | nonzero_recovery_rate | RMSE  |
+---------+-----+----+-----------+---------+-----------------------+-------+
| alpha_0 | 50  | 30 | 3         | 3       | 0.560                 | 0.130 |
| alpha_0 | 50  | 60 | 3         | 3       | 0.827                 | 0.092 |
| alpha_0 | 100 | 30 | 3         | 3       | 0.788                 | 0.102 |
| alpha_0 | 100 | 60 | 3         | 3       | 0.988                 | 0.050 |
| alpha_0 | 200 | 30 | 3         | 3       | 0.972                 | 0.053 |
| alpha_0 | 200 | 60 | 3         | 3       | 1.000                 | 0.023 |
| alpha_0 | 400 | 30 | 3         | 3       | 0.995                 | 0.033 |
| alpha_0 | 400 | 60 | 3         | 3       | 1.000                 | 0.014 |
| alpha_0 | 800 | 30 | 3         | 3       | 1.000                 | 0.021 |
| alpha_0 | 800 | 60 | 3         | 3       | 1.000                 | 0.010 |
| beta_0  | 50  | 30 | 3         | 3       | 0.996                 | 0.406 |
| beta_0  | 50  | 60 | 3         | 3       | 0.987                 | 0.440 |
| beta_0  | 100 | 30 | 3         | 3       | 1.000                 | 0.253 |
| beta_0  | 100 | 60 | 3         | 3       | 1.000                 | 0.242 |
| beta_0  | 200 | 30 | 3         | 3       | 1.000                 | 0.164 |
| beta_0  | 200 | 60 | 3         | 3       | 1.000                 | 0.146 |
| beta_0  | 400 | 30 | 3         | 3       | 1.000                 | 0.106 |
| beta_0  | 400 | 60 | 3         | 3       | 1.000                 | 0.091 |
| beta_0  | 800 | 30 | 3         | 3       | 1.000                 | 0.077 |
| beta_0  | 800 | 60 | 3         | 3       | 1.000                 | 0.069 |
+---------+-----+----+-----------+---------+-----------------------+-------+
